label,guid
B3demo1,966ceec8-7476-11f1-9f07-f44d306dcb63
B3demo2,9f6dba75-7476-11f1-9f07-f44d306dcb63
ApproachGate1,b0be084d-7476-11f1-9f07-f44d306dcb63
Charger,e2f5a98e-748b-11f1-8f80-f44d306dcb63
Charger,e2f93944-748b-11f1-8f80-f44d306dcb63
Bay1,69c1854b-7555-11f1-a0a7-f44d306dcb63
Bay1,69c68233-7555-11f1-a0a7-f44d306dcb63
Bay2,479953b3-75f1-11f1-a0a7-f44d306dcb63
Bay2,479d6a34-75f1-11f1-a0a7-f44d306dcb63
Bay3Pos,0c4ee75a-7614-11f1-a056-f44d306dcb63
ExitG1,0681a4e2-76b0-11f1-a507-f44d306dcb63
inG1,a2471154-76b0-11f1-a507-f44d306dcb63
LeahsDesk,13fbd0c4-76b7-11f1-a507-f44d306dcb63
